date,p,n
2024-03-14,0.138,
2024-03-21,0.144,
2024-03-28,0.144,
2024-04-04,0.144,
2024-04-11,0.144,
2024-04-18,0.144,
2024-04-25,0.202,
2024-05-02,0.202,
2024-05-09,0.191,
2024-05-16,0.192,
2024-05-23,0.192,
2024-05-30,0.192,
2024-06-06,0.192,
2024-06-13,0.192,
2024-06-20,0.192,
2024-06-27,0.192,
2024-07-04,0.192,
2024-07-11,0.205,
2024-07-18,0.205,
2024-07-25,0.205,
2024-08-01,0.205,
2024-08-08,0.205,
2024-08-15,0.205,
2024-08-22,0.205,
2024-08-29,0.205,
2024-09-05,0.205,
2024-09-12,0.205,
2024-09-19,0.205,
2024-09-26,0.205,
2024-10-03,0.205,
2024-10-10,0.205,
2024-10-17,0.205,
2024-10-24,0.205,
2024-10-31,0.205,
2024-11-07,0.205,
2024-11-14,0.205,
2024-11-21,0.205,
2024-11-28,0.205,
2024-12-05,0.205,
2024-12-12,0.205,
2024-12-19,0.205,
2024-12-26,0.205,
2025-01-02,0.205,
2025-01-09,0.055,
2025-01-16,0.055,
2025-01-23,0.055,
2025-01-30,0.055,
2025-02-06,0.055,
2025-02-13,0.055,
2025-02-20,0.055,
2025-02-27,0.055,
2025-03-06,0.055,
2025-03-13,0.055,
2025-03-20,0.055,
2025-03-27,0.055,
2025-04-03,0.055,
2025-04-10,0.055,
2025-04-17,0.055,
2025-04-24,0.055,
2025-05-01,0.055,
2025-05-08,0.055,
2025-05-15,0.055,
2025-05-22,0.055,
2025-05-29,0.055,
2025-06-05,0.1,
2025-06-12,0.1,
2025-06-19,0.1,
2025-06-26,0.117,
2025-07-03,0.099,
2025-07-10,0.099,
2025-07-17,0.099,
2025-07-24,0.099,
2025-07-31,0.099,
2025-08-07,0.099,
2025-08-14,0.099,
2025-08-21,0.099,
2025-08-28,0.099,
2025-09-04,0.099,
2025-09-11,0.099,
2025-09-18,0.099,
2025-09-25,0.099,
2025-10-02,0.099,
2025-10-09,0.099,
2025-10-16,0.099,
2025-10-23,0.099,
2025-10-30,0.099,
2025-11-06,0.099,
2025-11-13,0.099,
2025-11-20,0.099,
2025-11-27,0.099,
2025-12-04,0.099,
2025-12-11,0.099,
2025-12-18,0.099,
2025-12-25,0.099,
2026-01-01,0.099,
2026-01-08,0.099,
2026-01-15,0.099,
2026-01-22,0.099,
2026-01-29,0.099,
2026-02-05,0.099,
2026-02-12,0.099,
2026-02-19,0.099,
2026-02-26,0.099,
2026-03-05,0.099,
2026-03-12,0.099,
2026-03-19,0.099,
2026-03-26,0.099,
2026-04-02,0.099,
2026-04-09,0.099,
2026-04-16,0.099,
2026-04-23,0.099,
2026-04-30,0.099,
2026-05-07,0.099,
2026-05-14,0.099,
2026-05-21,0.099,
2026-05-28,0.099,
2026-06-04,0.099,
2026-06-11,0.099,
2026-06-18,0.099,
2026-06-25,0.099,
2026-07-02,0.099,
2026-07-09,0.099,
2026-07-16,0.099,
2026-07-23,0.099,
2026-07-30,0.096,
2026-08-06,0.096,
2026-08-13,0.096,
2026-08-20,0.096,
2026-08-27,0.096,
2026-09-03,0.186,
2026-09-10,0.216,
2026-09-17,0.215,
2026-09-24,0.215,42
2026-09-25,0.21495,42
